1,1,帮助睡眠效果显著，酸枣仁和百合的搭配很舒缓,3,5,,,34:14.0,58:00.7,14,65
2,2,润肺效果不错，但味道略苦,2,3,,,07:34.0,27:50.4,6,63
3,3,清心除烦，逍遥茶真是提神醒脑的好帮手,3,4,,,32:54.0,27:50.5,14,66
4,4,人参和五指毛桃的结合增强了免疫力，但味道有些强烈,2,3,,,31:55.0,27:50.5,14,64
5,5,山楂陈皮茯苓茶帮助消化，但长期饮用可能导致胃酸,2,3,,,25:58.0,27:50.5,1,57
6,6,百消丹玉妍丸有效缓解了我的痘痘问题，但有轻微副作用,2,3,,,51:40.0,27:50.5,10,51
7,7,灵芝孢子粉提高了我的免疫力，但价格偏高,2,3,,,56:04.0,27:50.5,1,46
8,8,黄芪精提高了体力和免疫力，但服用后有些胃胀,2,3,,,02:08.0,27:50.5,9,29
9,9,猴头菇口服液提升了记忆力，但有点苦涩难以下咽,2,3,,,05:36.0,27:50.5,12,90
10,10,片仔癀漱口水清新口气效果好，但容易引起牙齿敏感,2,3,,,30:02.0,27:50.5,11,43
11,11,口清片改善口臭效果显著，但有时感觉口干,2,3,,,32:18.0,27:50.5,6,46
12,12,田七牙膏清洁牙齿效果不错，但有轻微的苦味,2,3,,,37:03.0,27:50.5,5,90
13,13,黄芪洗面奶洗后感觉清爽，但对油性皮肤清洁力不足,2,3,,,38:28.0,27:50.5,6,44
14,14,七子白面膜粉让肌肤光滑细腻，但有点干,2,3,,,23:31.0,27:50.5,5,17
15,15,百草肤霜滋润保湿，但有一定的油腻感,2,3,,,59:24.0,27:50.5,2,82
17,17,生姜何首乌洗发水促进头发生长，但略有刺激性,2,3,,,58:23.0,27:50.5,3,98
18,18,《中医养生饮食篇》书中内容丰富，但部分理论较难理解,2,3,,,03:05.0,27:50.5,10,79
19,19,《药食同源与治未病》理论实用，但需要一定的中医基础,2,3,,,46:46.0,27:50.6,9,95
20,20,《时节养生》内容全面，但有些篇幅略显枯燥,2,3,,,35:39.0,27:50.6,5,47
21,21,《漫画黄帝内经》易于理解，但漫画风格不符合所有人的口味,2,3,,,07:31.0,27:50.6,1,66
22,22,《百病生于瘀和堵》内容深入浅出，但部分观点有待商榷,2,3,,,36:43.0,27:50.6,3,78
23,23,艾草枕头改善睡眠效果显著，但有人可能对艾草过敏,2,3,,,15:20.0,27:50.6,14,81
24,24,艾草锤子使用后感觉轻松，但有时效果不稳定,2,3,,,37:34.0,27:50.6,12,67
25,25,艾灸贴方便使用，但有时灸感太强,2,3,,,45:51.0,27:50.6,14,17
26,26,艾灸盒操作简便，但持久性有待提高,2,3,,,11:10.0,27:50.6,13,70
27,27,人参五指毛桃茯苓茶再次饮用依旧感受到了其强大的滋补效果,3,4,,,57:07.0,27:50.6,2,57
28,28,祛湿茶确实有助于减轻体内湿气，但对肠胃有一定刺激,2,3,,,27:07.0,27:50.6,8,86
29,29,参苓白术丸服用后整体感觉好转，但味道略苦,2,3,,,06:35.0,27:50.6,13,39
31,1,助眠茶的天然成分让我整夜睡得安稳，非常满意,3,5,,,05:53.0,27:50.6,14,67
32,2,护嗓润肺茶喝起来感觉嗓子舒服很多，适合经常用嗓的人,3,4,,,50:54.0,27:50.6,10,72
35,5,山楂陈皮茯苓茶对消化不良有很好的帮助，喝了肚子舒服多了,3,5,,,47:54.0,27:50.6,5,46
36,6,百消丹玉妍丸让我的皮肤变得更加光滑，痘痘明显减少,3,5,,,13:29.0,27:50.6,6,17
37,7,灵芝孢子粉的免疫提升作用非常明显，感觉身体更加健康,3,5,,,18:01.0,27:50.7,2,39
38,8,黄芪精服用后体力恢复得很快，适合体质虚弱的人,3,4,,,29:52.0,27:50.7,8,61
39,9,猴头菇口服液对提升免疫力和记忆力真的有效，尽管味道有待改善,2,3,,,55:54.0,27:50.7,11,52
40,10,片仔癀漱口水确实能有效改善口腔健康，使用后口气清新,3,4,,,56:15.0,27:50.7,12,86
41,11,口清片是改善口臭的好帮手，尤其是对抗晨起口臭非常有效,3,5,,,40:44.0,27:50.7,1,6
42,12,田七牙膏的清洁效果很好，长期使用后牙齿更加健康,3,5,,,27:03.0,27:50.7,2,98
43,13,黄芪洗面奶让我的面部肌肤变得更加细腻，适合敏感肌肤,3,4,,,22:06.0,27:50.7,1,13
44,14,七子白面膜粉使用后感觉肌肤紧致有光泽，适合干性皮肤,3,4,,,33:44.0,27:50.7,9,50
45,15,百草肤霜的保湿效果很好，特别是在干燥的冬天,3,4,,,50:40.0,27:50.7,12,85
46,16,侧柏叶草本洗发粉让我的头发更加柔顺，洗后清爽不油腻,3,5,,,42:19.0,27:50.7,13,71
47,17,生姜何首乌洗发水不仅促进头发生长，而且还有防脱发的效果,3,4,,,09:02.0,27:50.7,1,92
48,18,《中医养生饮食篇》书中的食疗方很实用，适合想改善生活方式的人,3,4,,,00:24.0,27:50.7,14,95
